"site","session","start_date","end_date","Easting","Northing"
"Cell 53",1,2014-03-13,2014-06-07,378500,5936590
"Cell 53",2,2015-12-08,2016-03-24,378500,5936590
"Cell 54",1,2013-11-30,2014-06-03,378388,5938334
"Cell 54",2,2015-12-21,2016-04-10,378388,5938334
"Cell 55",1,2013-11-29,2014-06-10,379044,5898362
"Cell 55",2,2015-12-10,2016-04-07,379044,5898362
"Cell 56",1,2014-01-19,2014-06-12,379862,5901588
"Cell 56",2,2015-12-12,2016-04-07,379862,5901588
"Cell 57",1,2014-04-08,2014-06-16,381598,5907854
"Cell 57",2,2015-12-10,2016-04-07,381598,5907854
"Cell 58",1,2014-03-13,2014-06-16,379376,5909670
"Cell 58",2,2015-12-11,2016-04-07,379376,5909670
"Cell 59",1,2014-04-17,2014-06-13,378962,5914518
"Cell 59",2,2015-12-10,2016-03-27,378962,5914518
"Cell 6",1,2013-11-30,2014-06-11,360539,5924006
"Cell 6",2,2015-12-14,2016-04-03,360539,5924006
"Cell 60",1,2014-02-12,2014-06-13,381641,5918210
"Cell 60",2,2015-12-23,2016-04-05,381641,5918210
"Cell 61",1,2014-01-18,2014-06-13,382719,5923624
"Cell 61",2,2015-12-14,2016-03-31,382719,5923624
"Cell 62",1,2013-12-10,2014-06-17,381461,5927167
"Cell 62",2,2015-12-14,2016-04-07,381461,5927167
"Cell 63",1,2013-12-07,2014-03-12,382295,5931445
"Cell 63",2,2015-12-15,2016-04-08,382295,5931445
"Cell 64",1,2013-12-09,2014-05-11,382160,5933748
"Cell 64",2,2015-12-07,2016-03-13,382160,5933748
"Cell 65",1,2014-01-13,2014-06-08,380614,5940409
"Cell 65",2,2015-12-07,2016-03-05,380623,5940454
"Cell 66",1,2014-02-24,2014-06-16,384876,5933608
"Cell 66",2,2015-12-11,2016-03-09,384876,5933608
"Cell 7",1,2013-12-31,2014-06-11,360301,5927921
"Cell 7",2,2015-12-15,2016-04-06,360301,5927921
"Cell 8",1,2013-11-29,2014-06-11,362545,5931056
"Cell 8",2,2015-12-19,2016-04-10,362545,5931056
"Cell 9",1,2014-03-14,2014-06-11,363135,5934511
"Cell 9",2,2015-12-13,2016-03-10,363135,5934511
