"site","radius","RESERVOIR","BORROWPITS","DUGOUT","LAGOON","BORROWPIT.DRY","SUMP","ROAD.UNCLASSIFIED","ROAD.UNIMPROVED","INTERCHANGE.RAMP","ROAD.GRAVEL.1L","ROAD.GRAVEL.2L","ROAD.PAVED.1L","ROAD.PAVED.2L","ROAD.PAVED.DIV","ROAD.PAVED.UNDIV.1L","ROAD.PAVED.UNDIV.2L","ROAD.PAVED.UNDIV.4L","ROAD.UNPAVED.2L","TRUCK.TRAIL","AIRP.RUNWAY","ROAD.UNPAVED.1L","ROAD.PAVED.4L","ROAD.PAVED.3L","RLWY.SGL.TRACK","RLWY.SPUR","CANAL","VEGETATED.EDGE.ROADS","VEGETATED.EDGE.RAILWAYS","GRVL.SAND.PIT","MINES.PITLAKE","MISC.OIL.GAS.FACILITY","FACILITY.UNKNOWN","FACILITY.OTHER","OIL.GAS.PLANT","CLEARING.UNKNOWN","URBAN.INDUSTRIAL","CLEARING.WELLPAD.UNCONFIRMED","WELL.CASED","WELL.GAS","WELL.OIL","WELL.OTHER","TRANSFER_STATION","LANDFILL","RECREATION","GOLFCOURSE","CAMPGROUND","GREENSPACE","SURROUNDING.VEG","RUNWAY","TRANSMISSION.LINE","CFO","RURAL.RESIDENCE","URBAN.RESIDENCE","COUNTRY.RESIDENCE","RESIDENCE_CLEARING","WELL.ABAND","ROUGH_PASTURE","CROP","TAME_PASTURE","FRUIT.VEGETABLES","CUTBLOCK","PRE.LOW.IMPACT.SEISMIC","TRAIL","DISTURB_VEG","PIPELINE","water","exposed_land","developed","shrubland","grassland","agriculture","coniferous_forest","broadleaf_forest","mixed_forest"
"Cell 12",3750,0,0,0.000580732,0,0,4.8e-05,0.001341765,0.005059969,0,0.003472483,0.001258309,0,0,0,0.000657176,0.003304165,0,0,8.84e-05,0,0,0,0,0,0,0,0.015782943,0,0,0,0.001334562,0,0,0,0,0,0,0.000600709,0.000336899,0.014550691,0.00691992,0,0,0,0,0.001374759,0,0,0,0,0,0.012829461,0,0.000376402,0,0.00707709,0.005374002,0.273641748,0.080483784,0,0,0.00081453,0.000479333,0,0.003751133,0.286399318,0,0.099463153,0.00071334,0.07804285,0.309186631,0.000918329,0.225276378,0
"Cell 12",4000,0,0,0.000592858,0,0,4.22e-05,0.001524498,0.004832533,0,0.003390739,0.001136362,0,0,0,0.000577596,0.003754933,0,0,0.000119824,0,0,0,0,0,0,0,0.015494952,0,0,0,0.001172955,0,0,0,0,0,0,0.000667612,0.000512565,0.014095366,0.006329933,0,0,0,0,0.001208284,0,0,0,0,0,0.014871141,0,0.001112569,0,0.008267321,0.004723244,0.281171845,0.092882524,0,0,0.000894929,0.000451002,0,0.003355521,0.256101895,0,0.09861816,0.000626959,0.079002043,0.330641772,0.000877743,0.234131427,0
"Cell 12",4250,0,0,0.000685987,0,0,3.73e-05,0.001630238,0.00469339,0,0.003469121,0.001006604,0,0,0,0.000511642,0.003971792,0,0,0.000106142,0,0,0,0,0,0,0,0.015331736,0,0,0,0.001039019,0,0,0,0,0,0,0.000701516,0.000766999,0.013550266,0.005830956,0,0,0,0,0.001070314,0,0,0,0,0,0.014979575,0,0.003553842,0,0.008389272,0.004747426,0.289994893,0.101459998,0,0,0.000899433,0.000417582,0,0.003556766,0.228187617,0,0.096468336,0.00058035,0.076250141,0.351646635,0.000796417,0.246070505,0
"Cell 12",4500,0,0,0.000611884,0,0,3.33e-05,0.001694176,0.004699892,0,0.00350205,0.000937341,0,0,0,0.000456372,0.004056535,0,0,9.47e-05,0,0,0,0,0,0,0,0.015174721,0,0,0,0.000926779,0,0,0,0,0,0,0.000661208,0.00080902,0.012939943,0.005885456,0,0,0,0,0.000954694,0,0,0,0,0,0.015463483,0,0.005367122,0,0.008214525,0.005815599,0.297944572,0.105082395,0,0,0.000990777,0.000461066,0,0.004499297,0.206113622,0,0.095704412,0.001791732,0.072072083,0.366582072,0.00130445,0.256431629,0
"Cell 12",4750,0,0,0.000679361,0,0,2.99e-05,0.001638246,0.004718507,0,0.003465346,0.0009051,0,0,0,0.000409597,0.004075114,0,0,8.5e-05,0,0,0,0,0,0,0,0.014927836,0,0,0,0.000831791,0,0,0,0,0,0,0.001200472,0.000932514,0.012653776,0.005765838,0,0,0,0,0.000856844,0,0,0,0,0,0.015592416,0,0.005290945,0,0.008328738,0.00748721,0.304574487,0.106720264,0,0,0.001064442,0.000507388,0,0.005005503,0.1877958,0,0.094331532,0.002874404,0.067133549,0.376531983,0.001170787,0.270161946,0
"Cell 12",500,0,0,0,0,0,0,0.00812155,0.005656244,0,0.010494118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024778343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201887277,0,0,0.002149101,0.001457484,0,0,0.312004457,0,0.169533759,0,0.305111934,0,0,0.213349877,0
"Cell 12",5000,0,0,0.000642498,0,0,2.7e-05,0.001749811,0.004490802,0,0.003760308,0.000872576,0,0,0,0.000369661,0.003979093,0,0,8.56e-05,0,0,0,0,0,0,0,0.014747361,0,0,0,0.000750691,0,0,0.000120008,0,0,0,0.001083426,0.001072404,0.012535003,0.005260463,0,0,0,0,0.000773302,0,0,0,0,0,0.015862973,0,0.004775078,0,0.008100907,0.009067276,0.309485043,0.10720717,0,0,0.001278722,0.00057701,0,0.005299409,0.175232877,0,0.09402461,0.002605602,0.062041285,0.384328154,0.001218663,0.280548808,0
"Cell 12",750,0,0,0,0,0,0,0.005323013,0.004857145,0,0.007718786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017642075,0,0,0,0,0,0,0,0,0,0,0.000209757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009386355,0,0.007531928,0,0,0.190533977,0,0,0.001698449,0.001615645,0,0.000509996,0.356082022,0,0.12656916,0,0.287150023,0.000685067,0,0.229513737,0
"Cell 13",1000,0,0,0,0,0,0,0.000660508,0.002290211,0,0.006333591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00867024,0,0,0,0,0,0,0,0,0,0,0,0.004737638,0,0,0,0,0,0,0,0,0,0,0,0,0.005464208,0,0,0,0.00423663,0,0,0.054195736,0,0,0.00435357,0.001036711,0,0.013527925,0.09357433,0,0.05527024,0,0.111831078,0.053474523,0,0.685849828,0
"Cell 13",1250,0,0,0.000469982,0,0,0,0.000778942,0.001465735,0,0.005286041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006995771,0,0,0,0,0,0,0,0,0,0,0,0.003032088,0,0,0,0,0,0,0,0,0,0,0,0,0.011407502,0,0.004614659,0,0.002711443,0,0,0.084979816,0,0,0.003169573,0.000906598,0,0.010072548,0.132265792,0,0.04719147,0.002667422,0.126085858,0.069850953,0,0.621938505,0
"Cell 13",1500,0,0,0.000326376,0,0,0,0.002235438,0.001303474,0,0.006613738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010034698,0,0,0,0,0,0,0,0,0,0,0,0.002105617,6.71e-07,0,0,0,0,0,0,0,0,0,0,0,0.014115274,0,0.022479004,0,0.001882947,0,0,0.081974452,0,0,0.002573547,0.000970152,0,0.007526957,0.158865033,0,0.058732874,0.004458374,0.143342003,0.060539732,0,0.574061982,0
"Cell 13",1750,0,0,0.000239787,0,0,0,0.002490977,0.000957654,0,0.006471827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009745607,0,0,0,0,0,0,0,0,0,0,0,0.003035376,0.003707389,0,0,0,0,0,0,0,0,0,0,0,0.01234037,0,0.032298849,0,0.001383389,0.001177138,0,0.087072146,0,0,0.002721556,0.00105883,0,0.005920378,0.197182781,0,0.055328292,0.00327554,0.132979069,0.074155618,0,0.537078698,0
"Cell 13",2000,0,0,0.000183587,0,0,0,0.002219512,0.000733204,0,0.006042931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009209408,0,0,0,0,0,0,0,0,0,0,0,0.00232396,0.005764459,0,0,0,0,0,0,0,0,0,0,0,0.011224155,0,0.028520948,0,0.001915932,0.000919247,3.42e-05,0.092811034,0,0,0.002383977,0.001049665,0,0.004831225,0.242706723,0,0.052081878,0.002507836,0.104322851,0.089736741,0,0.508643969,0
"Cell 13",2250,0,0,0.000290113,0,0,0,0.002157427,0.000629648,0,0.006167107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008919057,0,0,0,0,0,0,0,0,0,0,0,0.001836215,0.004923032,0,0,0,0,0,0,0,0,0,0,0,0.01072909,0,0.02253507,0,0.00167376,0.000726319,2.71e-05,0.096340139,0,0,0.0022835,0.001198555,0,0.004225159,0.284978162,0,0.054931795,0.0019815,0.086729768,0.089788005,0,0.481590768,0
"Cell 13",250,0,0,0,0,0,0,0,0,0,0.022816442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022735808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037532308,0,0,0.140594171,0,0.167679306,0,0,0.691726534,0
"Cell 13",2500,0,0,0.000234992,0,0,0,0.001851877,0.000639943,0,0.005699036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008048797,0,0,0,0,0,0,0,0,0,0,0,0.001487334,0.004766079,0,0,0,0,0,0,0,0,0,0,0,0.009860166,0,0.018253407,0,0.002033633,0.000588318,2.19e-05,0.093958979,0,0,0.002441339,0.001071789,0,0.003852534,0.320848864,0,0.050362982,0.001605015,0.082917421,0.086605776,0.002435099,0.455224841,0
"Cell 13",2750,0,0,0.000222666,0,0,0,0.001615447,0.001154914,0,0.005226144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007782758,0,0,0,0,0,0,0,0,0,0,0,0.001229202,0.006392669,0.000557663,0,0,0,0,0,0,0,0,0,0,0.009379324,0,0.01508546,0,0.001680688,0.001118159,1.81e-05,0.088189713,0,0,0.002354645,0.000981136,0,0.003517599,0.352869558,0,0.052019099,0.001326458,0.079612539,0.079532067,0.003493008,0.431147268,0
"Cell 13",3000,0,0,0.000244784,0,0,0,0.001767891,0.001245656,0,0.004727445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007240403,0,0,0,0,0,0,0,0,0,0,0.000124699,0.001032871,0.00642599,0.000468592,0,0,0,0,0,0,0,0,0,0,0.009822982,0,0.012675977,0,0.002170955,0.00142573,1.52e-05,0.086591833,0,0,0.002256965,0.000975131,0,0.003045367,0.376094123,0,0.051139253,0.001114594,0.077302696,0.072469126,0.002935097,0.418945111,0
"Cell 13",3250,0,0,0.000228007,0,0,0,0.001777218,0.001387156,0,0.004294419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006830589,0,0,0,0,0,0,0,0,0,0,0.000451965,0.000880079,0.007122974,0.000889267,0,0,0,0,0,0,0,0,0,0,0.009993411,0,0.01130196,0,0.00205643,0.001795209,1.3e-05,0.088934126,0,0,0.0021778,0.000917407,0,0.002770254,0.392902144,0,0.048995404,0.00362034,0.077159038,0.068037624,0.002500911,0.406784538,0
"Cell 13",3500,0,0,0.000298289,0,0,0,0.001613347,0.00186804,0,0.004267882,0,0,0,0,0,0,0,0,3.16e-05,0,0,0,0,0,0,0,0.007275111,0,0,0,0,0,0,0.000247068,0,0,0,0.000389705,0.000758844,0.009383139,0.001340158,0,0,0,0,0,0,0,0,0,0,0.009164637,0,0.009745057,0,0.002368319,0.001717114,1.12e-05,0.099442896,0,0,0.001954912,0.000938906,0,0.002866306,0.398823938,0,0.050721008,0.005733417,0.078140667,0.070507083,0.002163269,0.393910617,0
"Cell 13",3750,0,0,0.000259843,0,0,0,0.00145299,0.002090902,0,0.004088512,0,0,0,0,0,1.66e-06,0,0,8.51e-05,0,0,0,0,0,0,0,0.007323324,0,0,0,0,0,0,0.000215223,0,0,0,0.000459195,0.000661037,0.009878739,0.001972596,0,0,0,0,0,0,0,0,0,0,0.008774101,0,0.008489027,0,0.003292928,0.002369825,9.74e-06,0.109049612,0,0,0.001756414,0.000929995,0,0.002925682,0.393142585,0,0.051718182,0.006371036,0.08221526,0.074986574,0.003435616,0.388130744,0
"Cell 13",4000,0,0,0.000366071,0,0,0,0.001468132,0.002248068,0,0.004018098,6.47e-05,0,0,0,0,0.000984353,0,0,7.48e-05,0,0,0,0,0,0,0,0.008021617,0,0,0,0,0,0,0.000189161,0,0,0,0.00073384,0.00058099,0.011095177,0.001875578,0,0,0,0,0,0,0,0,0,0,0.009140328,0,0.007461059,0,0.003926781,0.002409057,0.002758402,0.114523444,0,0,0.001644637,0.000959937,0,0.00352052,0.37618925,0,0.055533811,0.007555919,0.085052911,0.081122653,0.003966107,0.390579348,0
"Cell 13",4250,0,0,0.000485008,0,0,0,0.001414831,0.002772716,0,0.003801362,0.000241792,0,0,0,1.79e-05,0.001267861,0,0,9.35e-05,0,0,0,0,0,0,0,0.00905522,0,0,0,0,0,0,0.000167561,0,0,0,0.000731978,0.000514649,0.012430342,0.002399177,0,0,0,0,0.001005287,0,0,0,0,0,0.008731808,0,0.006609104,0,0.00454169,0.004104497,0.009007545,0.121801939,0,0,0.001534798,0.00093386,0,0.005035193,0.348673,0,0.061916875,0.007145742,0.086429599,0.095506199,0.004433027,0.395895556,0
"Cell 13",4500,0,7.26e-05,0.000468879,0,0,0,0.001506746,0.003521035,0,0.003458236,0.000444725,0,0,0,6.34e-05,0.001532695,0,0,9.47e-05,0,0,0,0,0,0,0,0.010208847,0,0,0,6.45e-05,0,0,0.000251673,0,0,0,0.000652907,0.000520651,0.013577936,0.003402511,0,0,0,0,0.000954694,0,0,0,0,0,0.009257293,0,0.005895158,0,0.005362393,0.005185627,0.020927318,0.132338536,0,0,0.001418687,0.000923097,0,0.00610736,0.321737098,0,0.068635914,0.00645418,0.084047133,0.119359325,0.005366177,0.394400172,0
"Cell 13",4750,0,6.52e-05,0.000551013,0,0,0,0.001535735,0.003783059,0,0.003219434,0.000560446,0,0,0,9.95e-05,0.001687214,0,0,8.5e-05,0,0,0,0,0,0,0,0.01039428,0,0,0,5.79e-05,0,0,0.000225879,0,0,0,0.000585988,0.000614024,0.013828262,0.003415027,0,0,0,0,0.000856844,0,0,0,0,0,0.009547885,0,0.005290945,0,0.005937018,0.005599465,0.038616523,0.138329844,0,0,0.001473447,0.000871772,0,0.007429575,0.301346974,0,0.070170647,0.006201147,0.078887428,0.142062279,0.004823585,0.396507939,0
"Cell 13",500,0,0,0,0,0,0,0,0.007913893,0,0.012424048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020180208,0,0,0,0,0,0,0,0,0,0,0,0.018513596,0,0,0,0,0,0,0,0,0,0,0,0,0.004323901,0,0,0,0,0,0,0,0,0,0.000108106,0,0,0.02203378,0,0,0.132409424,0,0.139847263,0,0,0.727743314,0
"Cell 13",5000,0,5.88e-05,0.000497289,0,0,0,0.001437542,0.003989623,0,0.002995886,0.000635706,0,0,0,0.000128212,0.001813643,0,0,7.67e-05,0,0,0,0,0,0,0,0.010411383,0,0,0,5.22e-05,0,0,0.000203855,0,0,0,0.000528854,0.000554157,0.013782186,0.003411005,0,0,0,0,0.000773302,0,0,0,0,0,0.009452406,0,0.004775078,0,0.006932517,0.006450633,0.05535439,0.13815215,0,0,0.001537204,0.000807961,0,0.007844596,0.288352613,0,0.070714629,0.005596535,0.075570971,0.158265641,0.004353285,0.397146325,0
"Cell 13",750,0,0,0,0,0,0,0.001174236,0.004071487,0,0.008404046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012524974,0,0,0,0,0,0,0,0,0,0,0,0.008422468,0,0,0,0,0,0,0,0,0,0,0,0,0.009714148,0,0,0,0.007122198,0,0,0.012440401,0,0,0.005215765,0.000498786,0,0.019292586,0.032626567,0,0.078913336,0,0.114501477,0.013635871,0,0.76032275,0
"Cell 14",1000,0,0,0.000734351,0,0,0,0.007278003,0,0,0.007550796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011399362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012954617,0,0.114083792,0,0,0,0,0.258027613,0,0,0.005175098,0.003034605,0,0,0.120914272,0,0.070657603,0,0.204778364,0.20499598,0,0.398653766,0
