Site,BUFF_DIST,RESERVOIR,BORROWPITS,DUGOUT,LAGOON,BORROWPIT-DRY,SUMP,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,INTERCHANGE-RAMP,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-1L,ROAD-PAVED-2L,ROAD-PAVED-DIV,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-PAVED-UNDIV-4L,ROAD-UNPAVED-2L,TRUCK-TRAIL,AIRP-RUNWAY,ROAD-UNPAVED-1L,ROAD-PAVED-4L,ROAD-PAVED-3L,RLWY-SGL-TRACK,RLWY-SPUR,CANAL,VEGETATED-EDGE-ROADS,VEGETATED-EDGE-RAILWAYS,GRVL-SAND-PIT,MINES-PITLAKE,MISC-OIL-GAS-FACILITY,FACILITY-UNKNOWN,FACILITY-OTHER,OIL-GAS-PLANT,CLEARING-UNKNOWN,URBAN-INDUSTRIAL,CLEARING-WELLPAD-UNCONFIRMED,WELL-CASED,WELL-GAS,WELL-OIL,WELL-OTHER,TRANSFER_STATION,LANDFILL,RECREATION,GOLFCOURSE,CAMPGROUND,GREENSPACE,SURROUNDING-VEG,RUNWAY,TRANSMISSION-LINE,CFO,RURAL-RESIDENCE,URBAN-RESIDENCE,COUNTRY-RESIDENCE,RESIDENCE_CLEARING,WELL-ABAND,ROUGH_PASTURE,CROP,TAME_PASTURE,FRUIT-VEGETABLES,CUTBLOCK,PRE-LOW-IMPACT-SEISMIC,TRAIL,DISTURB_VEG,PIPELINE
Cell 33,4750,0,0,0.000259649,0.000444793,0,0,0.002168599,0.002725742,0,0.005094702,0.001031861,0,0,0,0.000210124,0.003351469,0,0,0.000169036,0,0,0,0,0,0,0,0.014684128,0,0,0,0,0,0,0.000141267,0,0,0,0.000486981,0.001120424,0,0.000186907,0,0,0,0.006751605,0.01228394,0,0,0,0,0,0.012029609,0,0.00189615,0,0.002078435,0.025683955,0.202769493,0.141808563,0,0,0.002022407,0.000548668,0,0.0001907
Cell 34,4750,0,0,0.000296943,0.000414899,0,0,0.004267979,0.002764966,0,0.00452806,0.001359914,0,0,0,0.001535212,0.001590199,0,0,0.00030956,0,0,0,0,0,0,0,0.014519113,0,0,0,0,0.0006172,0,0,0,0,0,0.000299957,0.001226017,0,0,0,0,0,0.006751605,0.012124525,0,0,0,0,0,0.013066328,0,0.032893907,0.000526214,0.002431637,0.090793729,0.002909529,0.048055385,0,0,0.00297542,0.000663163,0,0.002284752
Cell 35,4750,0,0,0.000260343,0,0,0,0.004929904,0.001121215,0,0.00588975,0.000776683,0,0,0,0.001459587,0.001646559,0,0,0.000239324,0,0,0,0,0,0,0,0.013840473,0,0,0,0,0.001129089,0,0,0.000946669,0,0,0,0.001227828,0,0,0,0,0,0,0,0,0,0,0.003786289,0,0.015220932,0,0.046271134,0.000526214,0.003379472,0.106115757,0.008474073,0.074825565,0,0,0.003522176,0.000809058,0,0.002437058
Cell 36,4750,0,0,0.000260342,0,0,0,0.003004737,0.000598315,0,0.002983167,0.001149474,0,0,0,0.000793026,0.002258784,0,0,9.37E-05,0,0,0,0,0,0,0,0.008061185,0,0,0,0,0.001129089,0,0,0.000946669,0,0,0,0.000363483,0,0,0,0,0,0,0,0,0,0,0.004958077,0,0.015129236,0,0.015074193,0.000200905,0.002440782,0.064104877,0.001354374,0.061902161,0,0,0.003201894,0.00089795,0,0.000458631
Cell 37,4750,0,0,0.000195256,0,0,0,0.002591818,0.00099979,0,0.002346198,0.001821775,0,0,0,0.000990165,0.003790546,0,0,7.41E-05,0,0,0,0,0,0,0,0.010732929,0,0,0,0,0,0,0,1.70E-05,0,0,0,0,0,0,0,0,0.000716595,0,0,0,0,0,0.005267439,0,0.020339475,0,0.011229104,0,0.00112653,0.068052235,0.003262676,0.061882646,0,0,0.003855123,0.001328496,0,0
Cell 38,4750,0,0,0.000227796,0,0,0,0.004248636,0.002299247,0,0.002192365,0.00170094,0,0,0,0.003059503,0.006773701,0,6.55E-05,2.12E-05,0,0,0,0,0,0,0,0.022172044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001244962,0,0.000446766,0,0,0,0.003077197,0,0.031120246,0,0.030793437,0,0.001495366,0.0538431,0.009118372,0.09183507,0,0,0.003978936,0.001125123,0,0.000119733
Cell 39,4750,0,6.52E-05,0.000162711,0,0,0,0.003742577,0.002337908,0,0.0021367,0.001545938,0,0,0,0.003237585,0.00685899,0,6.55E-05,0.000134192,0,0,0,0,0.001260983,0,0,0.021342435,0.003653198,0,0,0,0,0,0,0,0,0,0,0.00048691,0,0,0,0,0.001244962,0,0.000446766,0,0,0,0,0,0.029916611,0,0.012130619,0,0.002440802,0.036094485,0.013914639,0.306357408,0,0,0.002860203,0.001065506,0.01011038,0.000196151
Cell 4,4750,0,0,0.000227836,5.98E-05,0,0,0.006799916,0.000941616,0,0.001310993,0.001160532,0,0.000190218,0,0.002801641,0.011291874,0,0,2.94E-05,7.10E-05,0,0,0,0,0,0,0.020388534,0,0,0,0,0,3.22E-05,0,0,6.99E-05,0,0,5.00E-05,0,0.000186922,0,0,2.60E-06,0.009483227,0,0.001156122,0.000403126,0,0.004344733,0,0.028194957,0,0.083623076,0.001322663,0.000938913,0.034962722,0.029872941,0.224179366,0,0,0.00248236,0.000836934,0,0
Cell 40,4750,0.00069018,0,0.000105297,0,0,0,0.002743574,0.002389228,0,0.000939189,0.000290787,0,0,0,0.001213846,0.005405359,0,0,0.000162748,0,0,0,0,0.000881707,0,0,0.009375335,0.002371336,0,0,0,0,0,0,0,0,0,0,0.001463557,0,0,0,0,0,0,0,0,0,0,0,0,0.008970047,0,0.020566532,0,0.002693327,0.145376377,0.001379214,0.122957699,0,0,0.000942142,0.003909597,0.009734072,0.003230305
Cell 41,4750,0.00069018,0,3.25E-05,0,0,0,0.000764999,0.002601238,0,0,0,0,0,0,0,0.002212456,0,0,0.000120967,0,0,0,0,0,0,0,0.00348521,0,0,0,0,0,0,0,0,0,0,0,0.001330422,0,0,0,0,0,0,0,0,0,0,0,0,0.006690149,0,0.001809238,0,0.001189936,0.119416445,0.004371559,0.0425007,0,0,0.001589923,0.003539883,0,0.002047187
