Site,BUFF_DIST,RESERVOIR,BORROWPITS,DUGOUT,LAGOON,BORROWPIT-DRY,SUMP,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,INTERCHANGE-RAMP,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-1L,ROAD-PAVED-2L,ROAD-PAVED-DIV,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-PAVED-UNDIV-4L,ROAD-UNPAVED-2L,TRUCK-TRAIL,AIRP-RUNWAY,ROAD-UNPAVED-1L,ROAD-PAVED-4L,ROAD-PAVED-3L,RLWY-SGL-TRACK,RLWY-SPUR,CANAL,VEGETATED-EDGE-ROADS,VEGETATED-EDGE-RAILWAYS,GRVL-SAND-PIT,MINES-PITLAKE,MISC-OIL-GAS-FACILITY,FACILITY-UNKNOWN,FACILITY-OTHER,OIL-GAS-PLANT,CLEARING-UNKNOWN,URBAN-INDUSTRIAL,CLEARING-WELLPAD-UNCONFIRMED,WELL-CASED,WELL-GAS,WELL-OIL,WELL-OTHER,TRANSFER_STATION,LANDFILL,RECREATION,GOLFCOURSE,CAMPGROUND,GREENSPACE,SURROUNDING-VEG,RUNWAY,TRANSMISSION-LINE,CFO,RURAL-RESIDENCE,URBAN-RESIDENCE,COUNTRY-RESIDENCE,RESIDENCE_CLEARING,WELL-ABAND,ROUGH_PASTURE,CROP,TAME_PASTURE,FRUIT-VEGETABLES,CUTBLOCK,PRE-LOW-IMPACT-SEISMIC,TRAIL,DISTURB_VEG,PIPELINE
Cell 1,250,0,0,0,0,0,0,0,0.015927111,0,0.018089617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047113472,0,0,0,0,0,0,0,0,0,0,0,0,0.250024719,0,0,0,0,0,0.07848926,0,0,0,0,0,0,0,0,0,0,0,0.175382671,0,0,0,0,0,0,0
Cell 10,250,0,0,0,0,0,0,0.006169169,0,0,0,0,0,0,0,0.001337288,0.02325171,0,0,0,0,0,0,0,0,0,0,0.01618724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114921165,0,0.010804235,0,0,0,0,0,0,0,0.0103761,0.009371898,0,0
Cell 12,250,0,0,0,0,0,0,0.016438454,0.009065603,0,0.02394775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050643986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173169279,0,0,0.000138686,0.000108113,0,0
Cell 13,250,0,0,0,0,0,0,0,0,0,0.022816442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022735808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037532308
Cell 14,250,0,0,0,0,0,0,0.010295917,0,0,0.016118371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034462747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154771198,0,0,0,0,0.013466997,0,0,0,0.006490854,0,0
Cell 15,250,0,0,0,0,0,0,0.003031908,0.022311483,0,0,0,0,0,0,0,0.033016201,0,0,0,0,0,0,0,0,0,0,0.067379624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078085397,0,0.004910382,0,0,0,0,0,0,0.166458428,0,0,0.011410768,0,0,0
Cell 16,250,0,0,0,0,0,0,0,0,0,0.008496582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008453775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01883233,0,0.211498205,0,0,0,0.007709842,0,0
Cell 17,250,0,0,0,0,0,0,0,0,0,0.018740656,0,0,0,0,0,0.043893075,0,0,0,0,0,0,0,0,0,0,0.078349099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178429206,0,0,0.014999855,0.00528934,0,0
Cell 18,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040984108,0,0,0,0,0,0,0,0,0,0,0.034597302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111507902,0,0.099478457,0,0,0,0,0,0
Cell 19,250,0,0,0,0,0,0,0.017454552,0,0,0,0,0,0,0,0,0.044599402,0,0,0,0,0,0,0,0,0,0,0.007343268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055341091,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell 2,250,0,0,0,0,0,0,0,0,0,0.026590729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03372354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084371881,0,0,0,0,0,0,0.131377261,0,0,0.00814179,0,0,0
Cell 20,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044657793,0,0,0,0,0,0,0,0,0,0,0.013208945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01360934,0,0
Cell 22,250,0,0,0,0,0,0,0,0,0,0.04655911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062538008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156849452,0.052084912,0,0,0.003121481,0,0,0
Cell 23,250,0,0,0,0,0,0,0,0,0,0,0.031608754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014246438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132544787,0.205300316,0,0,0,0.022435544,0.004555878,0,0
Cell 24,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007753622,0,0
Cell 25,250,0,0,0,0,0,0,0,0,0,0.004128995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008858664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008446766,0,0
Cell 26,250,0,0,0,0,0,0,0,0,0,0,0.024902978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022768684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073342874,0,0,0,0,0,0,0,0,0,0,0,0.009878272,0.003764472,0,0
Cell 27,250,0,0,0,0,0,0,0,0,0,0,0.030700866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016010508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050873662,0,0,0,0,0,0,0.123997106,0,0,0.009868765,0,0,0
Cell 28,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043202628,0,0,0,0,0,0,0,0,0,0,0.029822047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104254923,0,0,0,0,0,0,0.697028503,0,0,0,0,0,0
Cell 29,250,0,0,0,0,0,0,0.006112894,0,0,0.026966768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026133464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023312746,0,0,0,0,0,0,0,0.006852515,0,0,0
Cell 3,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046123116,0,0,0.007821516,0.009160741,0,0
Cell 30,250,0,0,0,0,0,0,0,0.008837635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009229257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046091757,0,0,0,0,0,0.083752426,0.044563264,0,0,0.01554898,0,0,0
Cell 31,250,0,0,0,0,0,0,0.030486011,0,0,0,0,0,0,0,0,0.044627364,0,0,0,0,0,0,0,0,0,0,0.005570487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474846,0,0,0,0,0.022047911,0,0,0,0,0,0,0,0
Cell 32,250,0,0,0,0,0,0,0.015311925,0,0,0,0,0,0,0,0,0.04193169,0,0,0,0,0,0,0,0,0,0,0.008668819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060505466,0,0,0,0,0.028613678,0,0,0,0,0.004217779,0.003743757,0,0
Cell 33,250,0,0,0,0,0,0,0.004949497,0,0,0.00321211,0,0,0,0,0,0.061500542,0,0,0,0,0,0,0,0,0,0,0.119424513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016768516,0,0.21526467,0,0,0,0,0,0,0
Cell 34,250,0,0,0,0,0,0,0,0,0,0.031009014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057106166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034078462,0,0,0,0,0.184396914,0,0,0,0,0,0,0,0
Cell 35,250,0,0,0,0,0,0,0.008009616,0,0,0,0,0,0,0,0.029557816,0,0,0,0,0,0,0,0,0,0,0,0.044682363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-07,0,0,0,0,0.166966581,0,0,0,0,0,0,0,0.025002995
Cell 36,250,0,0,0,0,0,0,0,0,0,0.025180069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025339613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123211054,0,0,0,0,0,0,0,0
Cell 37,250,0,0,0,0,0,0,0,0,0,0.02045011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020209509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell 38,250,0,0,0,0,0,0,0.002184754,0,0,0,0,0,0,0,0,0.045847861,0,0,0,0,0,0,0,0,0,0,0.008085158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105762503,0,0,0,0,0.056574209,0,0,0,0,0.008126831,0.008722384,0,0
Cell 39,250,0,0,0,0,0,0,0.008102602,0,0,0,0,0,0,0,0.017236379,0,0,0,0,0,0,0,0,0,0,0,0.013132489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045154519,0,0,0,0,0,0,0,0,0,0.007807034,0.004905069,0,0
Cell 4,250,0,0,0,0,0,0,0.017717702,0,0,0,0,0,0,0,0,0.045011992,0,0,0,0,0,0,0,0,0,0,0.011195624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149150574,0,0.190252252,0,0,0,0,0.078639304,0,0,0.017575809,0.001897509,0,0
Cell 40,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044864604,0,0,0,0,0,0.023346513,0,0.033840583
Cell 41,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019285377,0,0
Cell 42,250,0,0,0,0,0,0,0,0.023424952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008988009,0,0,0
Cell 43,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425198,0,0
Cell 44,250,0,0,0,0,0,0,0,0,0,0.02503698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028021272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004264052,0,0
Cell 45,250,0,0,0,0,0,0,0,0,0,0.035740153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047837886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356417634,0,0,0,0,0,0,0,0
Cell 46,250,0,0,0,0,0,0,0,0,0,0.024220552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024306112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018203852,0,0,0,0,0.224061122,0,0,0,0,0,0,0,0.047990637
Cell 47,250,0,0,0,0,0,0,0,0,0,0.013236157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018968165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004192798,0,0,0,0,0.193008666,0,0,0,0,0,0,0,0
Cell 48,250,0,0,0,0,0,0,0.003171063,0,0,0.022720914,0.016469348,0,0,0,0.004832041,0.022228312,0,0,0,0,0,0,0,0,0,0,0.065518692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056401186,0,0.134181621,0,0,0.087733703,0,0,0,0,0,0.00095502,0,0
Cell 49,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044809703,0,0,0,0,0,0,0,0,0,0,0.055441145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314287683,0,0,0,0,0,0.014637328
Cell 5,250,0,0,0,0,0,0,0.039658012,0,0,0,0,0,0,0,0.019375652,0.070277945,0,0,0,0,0,0,0,0,0,0,0.100075295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168240555,0,0,0,0,0,0,0.035903695,0,0,0,0,0,0
Cell 50,250,0,0,0,0,0,0,0.011790964,0,0,0,0.034476649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043337195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032507431,0,0,0,0,0,0,0.194921573,0,0,0,0.001803181,0,0
Cell 51,250,0,0,0.011747263,0,0,0,0,0.024715497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024688036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067774363,0.458965085,0,0,0,0,0.003799493,0.007767561,0,0.056794737
Cell 52,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005489958,0,0
Cell 53,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell 54,250,0,0,0,0,0,0,0,0.019021437,0,0,0,0,0,0,0,0.050259202,0,0,0,0,0,0,0,0,0,0,0.079288543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079514624,0,0,0,0,0.006209132,0,0,0,0,0,0.011290754,0,0
Cell 55,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182591599,0,0,0,0.014911312,0.018180957,0,0
Cell 56,250,0,0,0,0,0,0,0.004438193,0,0,0.024698294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025280438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07385005,0,0,0,0,0.000750666,0.21685674,0.218252134,0,0,0,0,0,0
Cell 57,250,0,0,0,0,0,0,0.010405071,0,0,0.012345978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012495559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078002542,0,0,0,0,0.431637557,0.004199525,0,0,0,0.010385934,0,0,0
Cell 58,250,0,0,0.023493969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294187533,0,0,0,0.010918548,0,0,0
Cell 59,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041284782,0,0,0,0,0,0,0,0,0,0,0.005202187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042888641,0,0,0,0,0,0.243620507,0,0,0,0,0,0,0
Cell 6,250,0,0,0,0,0,0,0.029108968,0,0,0,0,0,0,0,0,0.056088515,0,0,0,0,0,0,0,0,0,0,0.029088914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108131296,0,0.10094651,0,0,0,0,0.274224364,0,0,0,0,0,0
Cell 60,250,0,0,0,0,0,0,0.016991164,0,0,0,0,0,0,0,0.007165739,0.043448986,0,0,0,0,0,0,0,0,0,0,0.026189022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232565122,0,0,0.108175545,0,0,0,0,0,0,0,0
Cell 61,250,0,0,0,0,0,0,0.023017995,0,0,0.018549146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034386364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021027036,0,0,0,0,0.199191177,0,0,0,0,0.001797382,0,0,0
Cell 62,250,0,0,0,0,0,0,0,0.025239014,0,0.003472668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030609647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016403768,0,0,0,0,0,0,0.005782847,0,0.053335116
Cell 63,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010572396,0,0
Cell 64,250,0,0,0,0,0,0,0,0.027035246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027925543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649788,0,0
Cell 65,250,0,0,0,0,0,0,0.012644453,0.021650894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022047159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118107267,0,0,0,0,0,0.235331027,0.087835259,0,0,0.008849547,0.005441284,0,0
Cell 66,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009621121,0,0
Cell 7,250,0,0,0,0,0,0,0.01896677,0,0,0,0,0,0,0,0,0.038947293,0,0,0,0,0,0,0,0,0,0,0.016640651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195377766,0,0,0,0,0.011995699,0,0.135587186,0,0,0.011748562,0,0,0
Cell 8,250,0,0,0,0,0,0,0.02246365,0.010176097,0,0,0.003285331,0,0,0,0.019506743,0.06892846,0,0,0,0,0,0,0,0,0,0,0.086786525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135051451,0,0.248903215,0,0,0.043968703,0,0,0,0,0,0,0,0
Cell 9,250,0,0,0,0,0,0,0.010272642,0,0,0,0,0,0,0,0,0.044468346,0,0,0,0,0,0,0,0,0,0,0.032816486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017604493,0,0,0,0,0,0,0.3233467,0,0,0,0,0,0
Cell 1,500,0,0,0,0,0,0,0,0.01460649,0,0.008664583,0,0,0,0,0,0,0,0,0.001265469,0,0,0,0,0,0,0,0.031238112,0,0,0,0,0,0,0,0,0,0,0,0,0.1081264,0,0,0,0,0,0.069639155,0,0,0,0,0,0,0,0,0,0,0,0.293840106,0,0,0,0,0,0,0
Cell 10,500,0,0.00432696,0.002664144,0,0,0,0.012605715,0.001283047,0,0,0,0,0,0,0.004607337,0.020747467,0,0,0,0,0,0,0,0,0,0,0.020660772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114411988,0,0.123258278,0,0,0,0.038914882,0,0,0,0.013189009,0.004646671,0,0
Cell 12,500,0,0,0,0,0,0,0.00812155,0.005656244,0,0.010494118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024778343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201887277,0,0,0.002149101,0.001457484,0,0
Cell 13,500,0,0,0,0,0,0,0,0.007913893,0,0.012424048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020180208,0,0,0,0,0,0,0,0,0,0,0,0.018513596,0,0,0,0,0,0,0,0,0,0,0,0,0.004323901,0,0,0,0,0,0,0,0,0,0.000108106,0,0,0.02203378
Cell 14,500,0,0,0.000286598,0,0,0,0.013750495,0,0,0.015513636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025199842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011967674,0,0.213841393,0,0,0,0,0.1773641,0,0,0.002944055,0.007222043,0,0
Cell 15,500,0,0,0,0,0,0,0.00183395,0.008792337,0,0,0,0,0,0,0,0.021512495,0,0,0,0,0,0,0,0,0,0,0.037408655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046199246,0,0.016956236,0,0,0,0,0,0.065013333,0.214277911,0,0,0.005140169,0,0,0
Cell 16,500,0,0,0,0,0,0,0,0,0,0.005779075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005836892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034701783,0,0.09874593,0,0,0.005421617,0.003913946,0,0
Cell 17,500,0,0,0,0,0,0,0,0,0,0.012579098,0,0,0,0,0,0.029621055,0,0,0,0,0,0,0,0,0,0,0.051683113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01694636,0,0,0.302937429,0,0,0.010484618,0.001322335,0,0
Cell 18,500,0,0,0.002497266,0,0,0,0.01172774,0,0,0,0,0,0,0,0,0.031330875,0,0,0,0,0,0,0,0,0,0,0.026187813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064853428,0,0.047586304,0,0,0.210199154,0,0.077699214,0,0,0,0,0,0
Cell 19,500,0,0,0,0,0,0,0.008468151,0.004507458,0,0,0.000306374,0,0,0,0,0.037860443,0,0,0,0,0,0,0,0,0,0,0.011782962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045248015,0,0,0,0,0.00520099,0.00015565,0.113833876,0,0,0.002028747,0,0,0
Cell 2,500,0,0,0,0,0,0,0.008313159,0,0,0.024839344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030808788,0,0,0,0,0,0,0,0,0,0,0,0,0.044843403,0,0,0,0,0,0,0,0,0,0,0,0.070497922,0,0,0,0,0,0,0.257034647,0,0,0.00580329,0.002913593,0,0.003428972
Cell 20,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039899154,0,0,0,0,0,0,0,0,0,0,0.021785138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000708378,0,0,0,0,0,0,0,0.000186655,0.008481264,0,0
Cell 22,500,0,0,0,0,0,0,0.001886027,0,0,0.024894086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028904806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009282696,0,0,0,0,0,0.280229068,0.301850144,0,0,0.003403259,0,0,0
Cell 23,500,0,0,0,0,0,0,0.002977208,0.000759856,0,0.001392044,0.017416399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012054295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042764014,0,0,0.302726219,0.275152538,0,0,0,0.005662164,0.001138969,0,0
Cell 24,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004638368,0,0
Cell 25,500,0,0,0,0,0,0,0.001378412,0.0067871,0,0.005675149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020027454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030269046,0,0,0,0,0,0,0.027232727,0,0,0,0.003414798,0,0
Cell 26,500,0,0,0,0,0,0,0,0,0,0,0.016661409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014488219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045764619,0,0,0,0,0,0,0,0,0,0,0,0.003658798,0.001110685,0,0
Cell 27,500,0,0,0,0,0,0,0.001237994,0,0,0,0.016976354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009898417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017823695,0,0,0,0,0,0,0.249104159,0,0,0.002467191,0,0,0
